,Family Name,Given Name,Nation,Races,"Sh Time
P","Sh Time
S","Sh Time
T","Rg Time
P","Rg Time
S","Rg Time
T","Sh Time
IN","Sh Time
SP","Sh Time
Pu","Sh Time
MS","Rg Time
IN","Rg Time
SP","Rg Time
PU","Rg Time
MS","Penalty
Loop"
97,HOEGBERG,Elisabeth,SWE,8,0:33.4,0:33.6,0:33.5,0:55.1,0:56.3,0:55.7,0:33.8,0:35.8,0:31.9,,0:55.6,0:58.2,0:54.0,,0:25.0
98,FORIKA,Reka,ROU,11,0:34.9,0:32.1,0:33.5,0:57.9,0:55.7,0:56.8,0:34.7,0:34.2,0:27.6,,0:57.2,0:58.0,0:51.9,,0:27.4
99,SKOTTHEIM,Johanna,SWE,1,0:36.0,0:31.0,0:33.5,1:00.3,0:54.8,0:57.6,,0:33.5,,,,0:57.6,,,0:26.0
100,PERSSON,Linn,SWE,16,0:35.0,0:32.1,0:33.6,0:56.0,0:53.5,0:54.8,0:35.1,0:34.2,0:32.1,,0:56.3,0:56.1,0:52.8,,0:25.8
101,STOYANOVA,Desislava,BUL,13,0:38.1,0:29.4,0:33.7,1:00.1,0:51.3,0:55.7,0:35.6,0:32.7,0:33.1,,0:57.8,0:55.3,0:53.4,,0:25.7
102,VARCIN,Coline,FRA,6,0:36.1,0:31.4,0:33.7,0:58.4,0:54.2,0:56.3,0:34.0,0:35.1,0:32.6,,0:57.6,0:58.9,0:53.8,,0:25.0
103,SHCHERBININA,Anna,RUS,1,0:36.6,0:30.7,0:33.7,0:56.2,0:49.9,0:53.1,,0:33.7,,,,0:53.1,,,0:25.0
104,VISHNEVSKAYA,Galina,KAZ,16,0:35.8,0:31.9,0:33.8,0:57.2,0:53.1,0:55.2,0:32.8,0:33.5,0:33.6,0:36.4,0:54.3,0:55.2,0:54.6,0:57.4,0:25.0
105,VIIGIPUU,Kristel,EST,3,0:31.2,0:36.5,0:33.9,0:57.9,1:02.1,1:00.0,0:31.0,0:36.7,,,0:57.7,1:02.3,,,0:27.4
106,ZUK,Kamila,POL,2,0:34.5,0:33.5,0:34.0,0:54.7,0:55.8,0:55.3,,0:34.0,,,,0:55.3,,,0:26.0
107,LANDOVA,Jitka,CZE,9,0:33.8,0:34.5,0:34.1,0:56.3,0:56.8,0:56.5,0:34.3,0:34.3,0:33.9,,0:56.6,0:56.4,0:56.6,,0:27.3
108,HORCHLER,Nadine,GER,2,0:33.7,0:34.6,0:34.1,0:54.7,0:53.6,0:54.2,,0:34.0,0:34.2,,,0:54.9,0:53.8,,0:25.1
109,LESCINSKAITE,Gabriele,LTU,7,0:36.1,0:32.2,0:34.1,0:58.3,0:54.6,0:56.5,0:34.4,0:33.8,,,0:57.1,0:55.5,,,0:27.3
110,LIGHTFOOT,Amanda,GBR,8,0:34.8,0:33.6,0:34.2,0:56.3,0:54.4,0:55.4,0:34.6,0:33.7,,,0:55.4,0:55.3,,,0:25.6
111,OBERHOFER,Karin,ITA,24,0:34.0,0:34.8,0:34.4,0:54.2,0:54.2,0:54.2,0:37.1,0:35.6,0:33.9,0:32.2,0:55.3,0:55.6,0:53.9,0:52.5,0:23.3
112,AKIMOVA,Tatiana,RUS,14,0:35.8,0:33.0,0:34.4,0:56.2,0:52.9,0:54.6,0:35.5,0:35.0,0:33.7,,0:51.9,0:55.3,0:54.5,,0:24.9
113,ZHANG,Yan,CHN,12,0:37.9,0:30.8,0:34.4,0:59.2,0:51.3,0:55.2,0:33.9,0:36.2,0:33.6,,0:55.1,0:57.9,0:53.6,,0:25.6
114,MAGNUSSON,Anna,SWE,7,0:38.4,0:30.4,0:34.4,1:01.1,0:52.6,0:56.8,0:31.8,0:34.6,0:35.5,,0:56.1,0:56.7,0:57.3,,0:26.3
115,CIRSTEA,Florina Ioana,ROU,3,0:36.1,0:32.7,0:34.4,0:57.2,0:54.5,0:55.9,,0:34.4,,,,0:55.9,,,0:28.0
116,PISAREVA,Nadzeya,BLR,7,0:35.8,0:33.2,0:34.5,0:58.6,0:55.6,0:57.1,0:32.7,0:34.1,0:36.6,,0:55.5,0:56.0,0:59.5,,0:25.5
117,FIALKOVA,Ivona,SVK,9,0:35.6,0:33.4,0:34.5,0:56.6,0:54.1,0:55.4,0:34.2,0:34.8,0:34.6,,0:56.0,0:55.6,0:54.8,,0:25.5
118,PHANEUF,Madeleine,USA,1,0:40.0,0:29.0,0:34.5,1:02.9,0:51.6,0:57.3,,0:34.5,,,,0:57.3,,,0:26.3
119,MAJDISOVA,Alzbeta,SVK,2,0:33.8,0:35.1,0:34.5,0:55.9,0:57.0,0:56.4,,0:34.5,,,,0:56.4,,,0:27.0
120,HORCHLER,Karolin,GER,10,0:35.7,0:33.5,0:34.6,0:57.4,0:54.6,0:56.0,0:32.0,0:35.8,0:35.6,0:34.3,0:53.6,0:57.2,0:57.6,0:53.6,0:24.6
121,KURZTHALER,Susanna,AUT,1,0:38.0,0:31.1,0:34.6,0:55.6,0:50.2,0:52.9,0:34.6,,,,0:52.9,,,,
122,SKARDINO,Nadezhda,BLR,20,0:35.0,0:34.4,0:34.7,0:54.9,0:54.6,0:54.8,0:39.5,0:33.7,0:34.0,0:32.8,0:58.7,0:54.1,0:54.1,0:53.3,0:24.2
123,BRAISAZ,Justine,FRA,21,0:39.7,0:29.9,0:34.8,1:00.1,0:50.2,0:55.2,0:36.0,0:35.6,0:34.3,0:33.0,0:56.6,0:57.2,0:54.6,0:50.6,0:24.0
124,ABRAMOVA,Olga,UKR,14,0:32.8,0:36.8,0:34.8,0:52.8,0:57.7,0:55.2,0:37.0,0:35.5,0:33.8,0:35.0,0:57.9,0:56.4,0:54.1,0:55.3,0:23.9
125,LAUKKANEN,Mari,FIN,11,0:38.5,0:31.2,0:34.8,0:59.5,0:53.2,0:56.4,,0:34.7,0:35.0,0:34.2,,0:56.7,0:56.3,0:55.6,0:25.9
126,LANDHEIM,Bente,NOR,4,0:34.4,0:35.2,0:34.8,0:54.9,0:57.0,0:56.0,,0:35.0,0:34.5,,,0:57.2,0:54.1,,0:25.0
127,ILCHENKO,Kristina,BLR,6,0:38.4,0:31.3,0:34.8,1:00.7,0:54.2,0:57.4,0:34.1,0:35.0,0:35.2,,0:55.6,0:57.6,0:59.1,,0:25.6
128,HARTWEGER,Fabienne,AUT,5,0:34.0,0:35.6,0:34.8,0:57.5,0:58.9,0:58.2,0:37.4,0:33.9,0:33.5,,0:59.6,0:57.3,0:58.2,,0:24.9
129,KIM,Seon-Su,KOR,4,0:37.6,0:31.9,0:34.8,1:03.7,0:56.9,1:00.3,0:35.0,0:34.2,,,1:00.1,1:00.9,,,0:26.5
130,ERZEN,Anja,SLO,14,0:38.8,0:31.2,0:35.0,1:01.0,0:52.9,0:57.0,0:37.3,0:33.8,0:34.2,,0:59.6,0:57.2,0:52.6,,0:25.1
